R,Player,Age,Continet,Team,TeamA,TeamB,TeamC,Position,FW,MF,DF,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,Rating2,Drb,Tackles,Blocks,Clear,Inter
1,Sergio Aguero ,30,0,Manchester City ,1,0,0,FW,1,0,0,22(3),1969,21,6,2,0,3.8,82.8,0.4,4,7.81,7.12,2.2,0.4,0,0.1,0.2
2,Kevin De Bruyne,27,1,Manchester City ,1,0,0,MF,0,0,0,36(1),3085,8,16,2,0,2.5,83.4,0.4,8,7.8,7.54,1.7,1.7,0.1,0.3,0.7
3,Mohamed Salah ,26,0,Liverpool  ,1,0,0,FW,1,0,0,34(2),2922,32,10,1,0,4,76.7,0.4,8,7.69,7.25,2.2,0.3,0,0.1,0.1
4,Eden Hazard ,27,1,Chelsea  ,1,0,0,FW,1,0,0,28(6),2433,12,4,2,0,2.1,83.6,0.2,9,7.69,6.74,4.9,0.2,0,0,0.1
5,Harry Kane ,24,1,Tottenham  ,1,0,0,FW,1,0,0,35(2),3083,30,2,5,0,5,71.2,1.6,9,7.6,6.76,1.3,0.5,0.1,0.5,0.1
6,David Silva ,32,1,Manchester City ,1,0,0,MF,0,0,0,28(1),2437,9,11,5,0,1.9,88.9,0.6,4,7.58,7.38,1.3,1.1,0.2,0.2,0.6
7,Raheem Sterling ,23,1,Manchester City ,1,0,0,FW,1,0,0,29(4),2593,18,11,3,1,2.6,84,0.2,4,7.55,7.27,1.9,0.6,0,0.2,0.3
8,Leroy San? ,22,1,Manchester City ,1,0,0,MF,0,0,0,27(5),2423,10,15,4,0,1.8,84.2,0.5,3,7.54,7.09,2.7,0.8,0,0.2,0.4
9,Paul Pogba ,25,1,Manchester United ,1,0,0,MF,0,0,0,25(2),2151,6,10,5,1,2.8,85.3,1.9,4,7.48,6.54,2.8,1.2,0,0.9,0.8
10,Fernandinho  ,33,0,Manchester City ,1,0,0,MF,0,0,0,33(1),2885,5,3,7,0,1.4,90.1,2.8,1,7.44,6.88,0.6,1.8,0.2,1.9,1.4
11,Christian Eriksen ,26,1,Tottenham  ,1,0,0,MF,0,0,0,37,3226,10,10,0,0,2.6,82.4,0.5,4,7.4,6.84,0.8,1.4,0,0.5,0.8
12,Roberto Firmino ,26,0,Liverpool  ,1,0,0,FW,1,0,0,32(5),2778,15,7,1,0,2.3,72.6,1.2,3,7.39,6.62,1.3,1.8,0.1,0.2,0.5
13,Shkodran Mustafi ,26,1,Arsenal  ,0,1,0,DF,0,0,1,25(2),2274,3,1,6,0,0.5,86.2,4.5,3,7.38,6.61,0,2.4,0.6,6.3,2.1
14,Wilfried Zaha ,25,0,Crystal Palace ,0,1,0,FW,1,0,0,28(1),2551,9,3,5,0,2.2,75.3,0.1,3,7.38,6.4,4.1,1,0,0,0.2
15,Alexis S?nchez ,29,0,Arsenal  ,0,1,0,FW,1,0,0,17,1508,7,3,4,0,3.6,72.4,0.8,3,7.33,5.96,1.3,1.1,0.1,0,0.3
16,James Tomkins ,29,1,Crystal Palace ,0,1,0,DF,0,0,1,27(1),2388,3,0,8,0,0.8,81.8,4.1,3,7.31,5.77,0.2,1.7,0.4,7.6,2.3
17,Romelu Lukaku ,25,1,Manchester United ,1,0,0,FW,1,0,0,33(1),2869,16,7,4,0,2.5,68.4,3.2,2,7.29,6.47,1,0.2,0.1,0.6,0.1
18,Riyad Mahrez ,27,0,Leicester  ,0,1,0,MF,0,0,0,34(2),2961,12,10,2,0,2,79.6,0.8,5,7.28,6.81,2.3,1.1,0,0.3,0.5
19,Emre Can ,24,1,Liverpool  ,1,0,0,MF,0,0,0,24(2),2094,3,4,8,0,1,85.5,1.8,2,7.28,6.38,0.9,2.6,0.2,1.2,1.1
20,Sadio Man? ,26,0,Liverpool  ,1,0,0,MF,0,0,0,28(1),2207,10,7,3,1,2.4,80.4,0.9,1,7.27,6.62,1.9,1,0,0.2,0.3
21,Aaron Ramsey ,27,1,Arsenal  ,0,1,0,MF,0,0,0,21(3),1848,7,8,0,0,2.3,84.9,0.4,1,7.27,6.48,1.2,1.5,0.1,0.3,1
22,Jan Vertonghen ,31,1,Tottenham  ,1,0,0,DF,0,0,1,36,3205,0,0,4,0,0.7,86.3,3.3,3,7.26,6.58,0.8,1.8,0.3,4.7,1.7
23,Mesut ?zil ,29,1,Arsenal  ,0,1,0,MF,0,0,0,24(2),2164,4,8,4,0,1.5,86.5,0,2,7.25,6.68,1.4,0.8,0,0.2,0.5
