salary,career,performance
150000.000 ,14.000 ,7.409 
160000.000 ,15.000 ,6.097 
70000.000 ,12.000 ,2.668 
60000.000 ,16.000 ,2.137 
80000.000 ,14.000 ,1.316 
16000.000 ,1.000 ,3.352 
25000.000 ,3.000 ,1.186 
60000.000 ,11.000 ,1.948 
19500.000 ,3.000 ,2.138 
12000.000 ,5.000 ,-0.706 
20000.000 ,8.000 ,4.285 
20000.000 ,10.000 ,0.194 
14000.000 ,10.000 ,0.218 
40000.000 ,4.000 ,1.331 
55000.000 ,10.000 ,1.350 
65000.000 ,9.000 ,2.428 
100000.000 ,12.000 ,3.939 
30000.000 ,13.000 ,-2.450 
28000.000 ,10.000 ,-0.835 
19800.000 ,11.000 ,3.714 
23000.000 ,13.000 ,2.661 
16000.000 ,2.000 ,-0.944 
30000.000 ,11.000 ,-0.566 
65000.000 ,12.000 ,0.625 
65000.000 ,16.000 ,2.581 
70000.000 ,11.000 ,0.709 
35000.000 ,3.000 ,1.407 
50000.000 ,13.000 ,-0.196 
60000.000 ,8.000 ,4.781 
75000.000 ,12.000 ,2.908 
37000.000 ,9.000 ,0.384 
50000.000 ,10.000 ,-0.887 
100000.000 ,21.000 ,1.194 
23000.000 ,3.000 ,-1.634 
75000.000 ,20.000 ,1.163 
15000.000 ,13.000 ,0.725 
35000.000 ,10.000 ,-1.181 
120000.000 ,11.000 ,3.396 
9000.000 ,3.000 ,-2.362 
30000.000 ,4.000 ,-2.029 
22000.000 ,2.000 ,-0.147 
35000.000 ,7.000 ,1.185 
40000.000 ,12.000 ,-1.591 
55000.000 ,9.000 ,-2.531 
8000.000 ,4.000 ,-3.173 
9500.000 ,1.000 ,-3.324 
20000.000 ,6.000 ,-3.724 
60000.000 ,10.000 ,4.544 
8000.000 ,0.000 ,3.138 
70000.000 ,11.000 ,1.964 
100000.000 ,20.000 ,2.067 
80000.000 ,13.000 ,0.259 
30000.000 ,2.000 ,1.785 
42000.000 ,5.000 ,2.552 
75000.000 ,11.000 ,4.455 
70000.000 ,13.000 ,2.848 
60000.000 ,8.000 ,1.494 
70000.000 ,10.000 ,1.262 
160000.000 ,14.000 ,4.539 
18000.000 ,7.000 ,-1.756 
100000.000 ,11.000 ,4.679 
41000.000 ,11.000 ,-0.455 
40000.000 ,13.000 ,2.891 
19000.000 ,2.000 ,0.431 
35000.000 ,9.000 ,-0.657 
22000.000 ,8.000 ,-0.897 
30000.000 ,12.000 ,-2.309 
21000.000 ,5.000 ,-0.627 
18000.000 ,9.000 ,-1.994 
28000.000 ,6.000 ,-2.142 
17500.000 ,3.000 ,-1.627 
75000.000 ,19.000 ,0.490 
15000.000 ,2.000 ,-1.886 
50000.000 ,8.000 ,0.118 
16000.000 ,1.000 ,0.439 
23000.000 ,12.000 ,1.918 
28000.000 ,9.000 ,-1.414 
40000.000 ,11.000 ,-0.811 
20000.000 ,12.000 ,-0.847 
55000.000 ,8.000 ,-1.603 
31000.000 ,6.000 ,-1.824 
25000.000 ,6.000 ,-0.280 
65000.000 ,15.000 ,0.628 
50000.000 ,9.000 ,-2.489 
14000.000 ,10.000 ,-3.673 
21000.000 ,6.000 ,-4.738 
40000.000 ,12.000 ,-3.345 
26000.000 ,2.000 ,4.920 
160000.000 ,13.000 ,5.182 
60000.000 ,7.000 ,5.165 
70000.000 ,12.000 ,5.345 
50000.000 ,14.000 ,1.327 
35000.000 ,8.000 ,1.386 
80000.000 ,12.000 ,2.233 
28000.000 ,8.000 ,2.181 
45000.000 ,13.000 ,0.591 
